PtName,County,State,Pt_Own,OwType,Dam_Own,CH_MW,CH_MWh,CH_Pf,CH_OpYr,lat,lon,stream_gauge_id
Gardners Falls,Franklin,MA,"NAUTILUS HYDRO, LLC",Wholesale Power Marketer,"NAUTILUS HYDRO, LLC",3.5,8037.09,26.21360078,1914,42.591301,-72.7306976,1170000
Hadley Falls,Hampden,MA,City of Holyoke Gas and Electric Dept.,Publicly Owned Utility,City of Holyoke Gas and Electric Dept.,33.4,186845.24,63.86037514,1952,42.2136078,-72.6023331,1172010
Boatlock,Hampden,MA,City of Holyoke Gas and Electric Dept.,Publicly Owned Utility,City of Holyoke Gas and Electric Dept.,3.1,13361.82,49.20393283,1921,42.2088776,-72.6002274,1172010
Beebe Holbrook,Hampden,MA,Holyoke Water Power Company,Investor-Owned Utility,Holyoke Water Power Company,0.516,0,0,1950,42.2088776,-72.6002274,1172010
Skinner,Hampden,MA,Holyoke Water Power Company,Investor-Owned Utility,Holyoke Water Power Company,0.3,0,0,1950,42.2088776,-72.6002274,1172010
Holyoke No. 1,Hampden,MA,City of Holyoke Gas and Electric Dept.,Publicly Owned Utility,City of Holyoke Gas and Electric Dept.,2.6,6859.89,30.11894099,1893,42.2088776,-72.6002274,1172010
Holyoke No. 4 Hydro Station,Hampden,MA,City of Holyoke Gas & Electric Department,Publicly Owned Utility,City of Holyoke Gas & Electric Department,0.75,0,0,1901,42.2088776,-72.6002274,1172010
Riverside,Hampden,MA,City of Holyoke Gas and Electric Dept.,Publicly Owned Utility,City of Holyoke Gas and Electric Dept.,6.9,31047.65,51.36597512,1906,42.1948509,-72.6137924,1172010
Nonotuck Mill,Hampden,MA,City of Holyoke Gas and Electric Dept.,Publicly Owned Utility,City of Holyoke Gas and Electric Dept.,0.5,2141.95516,48.90308584,1982,42.1948509,-72.6137924,1172010
Holyoke No. 3 Hydro Station,Hampden,MA,City of Holyoke Gas and Electric Dept.,Publicly Owned Utility,City of Holyoke Gas and Electric Dept.,0.45,0,0,1940,42.1955986,-72.612999,1172010
Chemical,Hampden,MA,City of Holyoke Gas and Electric Dept.,Publicly Owned Utility,City of Holyoke Gas and Electric Dept.,1.6,4223.24,30.13156393,1935,42.1948967,-72.6043549,1172010
Station No. 5 Powerhouse,Hampden,MA,City of Holyoke Gas & Electric Department,Publicly Owned Utility,City of Holyoke Gas & Electric Department,0.79,2009,29.03011387,1931,42.2080994,-72.5968018,1172010
Collins Facility,Hampden,MA,"Ampersand Collins Hydro, LLC.",Private Non-utility,"Ampersand Collins Hydro, LLC.",1.2,4857.93,46.21318493,1985,42.1568985,-72.422699,1177000
Redbridge,Hampden,MA,"ESSENTIAL POWER MASSACHUSETTS, LLC",Wholesale Power Marketer,"ESSENTIAL POWER MASSACHUSETTS, LLC",3.6,13257.26,42.03849569,1926,42.1773987,-72.4092026,1177000
Putts Bridge,Hampden,MA,"ESSENTIAL POWER MASSACHUSETTS, LLC",Wholesale Power Marketer,"ESSENTIAL POWER MASSACHUSETTS, LLC",3.2,12891.09,45.98705051,1918,42.1562996,-72.4848022,1177000
Indian Orchard,Hampden,MA,"ESSENTIAL POWER MASSACHUSETTS, LLC",Wholesale Power Marketer,"ESSENTIAL POWER MASSACHUSETTS, LLC",3.7,6517.07,20.10696656,1928,42.1618996,-72.5028,1177000
Christine Falls,Hamilton,NY,"Christine Falls of New York, Inc.",Wholesale Power Marketer,"Christine Falls of New York, Inc.",0.85,2760,37.06688155,1988,43.5127983,-74.3097992,1321000
Lake Algonquin,Hamilton,NY,"Town of Wells, NY",Publicly Owned Utility,"Town of Wells, NY",0.698,2660,43.50329055,1987,43.3902016,-74.2926025,1321000
South Glens Falls,"Warren, Saratoga",NY,Boralex Hydro Operations Inc,Private Non-utility,Boralex Hydro Operations Inc,13.8,77188.18,63.85098604,1994,43.3049011,-73.6429977,1327750
Glens Falls,"Warren, Saratoga",NY,FH OPCO LLC,Wholesale Power Marketer,FH OPCO LLC,11.8,57541.4,55.66655058,1944,43.3049011,-73.6429977,1327750
Sherman Island,Saratoga,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,36.3,161358.12,50.74346202,1923,43.2729988,-73.7202988,1327750
Spier Falls,Saratoga,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,56,230331.06,46.95267857,1924,43.2346001,-73.7574005,1327750
Feeder Dam,Warren,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,5,24986.41,57.04659817,1924,43.290699,-73.6661987,1327750
Curtis,Saratoga,NY,EPCOR Generation Inc,Private Non-utility,EPCOR Generation Inc,9.8,55335.15851,64.4571318,1985,43.2467003,-73.828598,1327750
Palmer,Saratoga,NY,EPCOR Generation Inc,Private Non-utility,EPCOR Generation Inc,49.2,277805.0815,64.4571318,1985,43.2491989,-73.8209,1327750
Hudson Falls Hydroelectric Project,Saratoga,NY,Boralex Hydro Operations Inc,Private Non-utility,Boralex Hydro Operations Inc,44,216114.83,56.06964249,1995,43.2969017,-73.592598,1327750
Fort Miller Hydroelectric Facility,Saratoga,NY,Fort Miller Associates,Private Non-utility,Fort Miller Associates,5,24496.65,55.92842466,1984,43.161499,-73.5836029,1328770
Newport Hydro,Herkimer,NY,Newport Hydro Associates,Private Non-utility,Newport Hydro Associates,1.7,7329.68,49.21890948,1987,43.1851997,-75.0178986,1346000
Little Falls Hydro,Herkimer,NY,Little Falls Hydroelec Assoc,Private Non-utility,Little Falls Hydroelec Assoc,13,54893.71,48.20311732,1987,43.0372009,-74.8647003,1347000
Dolgeville Hydro,Herkimer,NY,EONY GENERATION LIMITED,Wholesale Power Marketer,EONY GENERATION LIMITED,5,13073.06,29.84716895,1985,43.0917015,-74.7664032,1348000
Beardslee,Herkimer,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,20,48522.96,27.69575342,1924,43.0243759,-74.7438354,1348000
Inghams,Fulton,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,6,26605.62,50.61952055,1912,43.0622368,-74.7656479,1348000
Blenheim Gilboa,Schoharie,NY,New York Power Authority,State,New York Power Authority,0,0,0,0,42.4450989,-74.4384003,1350180
Normanskill Hydro Project,Albany,NY,Watervliet City of,Publicly Owned Utility,Watervliet City of,1.2,2880.94,27.40620244,1983,42.7112999,-73.960701,1359528
Chittenden Falls,Columbia,NY,Chittenden Falls Hydro Power  Inc. & Chittenden Falls Dam,Private Non-utility,Chittenden Falls Hydro Power  Inc. & Chittenden Falls Dam,0.85,2500,33.57507387,1928,42.3333015,-73.7446976,1361000
High Falls,Ulster,NY,Central Hudson Gas & Elec Corp,Investor-Owned Utility,Central Hudson Gas & Elec Corp,3.2,5312.18,18.95041381,1986,41.8297005,-74.1330032,1367500
Walden,Orange,NY,"WALDEN HYDRO, LLC",Private Non-utility,"WALDEN HYDRO, LLC",2.4,4470.38,21.26322298,1986,41.5592995,-74.1949997,1371500
Montgomery Worsted,Orange,NY,"Steinberger Brothers, Inc.",Private Non-utility,"Steinberger Brothers, Inc.",0.375,0,0,1988,41.5307999,-74.2276993,1371500
Wallkill,Ulster,NY,"Natural Power Group, Inc.",Private Non-utility,"Natural Power Group, Inc.",0.512,3670,81.82612728,1987,41.6052017,-74.1865005,1371500
Blackstone Mill,Dauphin,PA,"Theodore A. Keck, III & Holly S. Keck",Private Non-utility,"Theodore A. Keck, III & Holly S. Keck",0.065,200,35.12469266,1983,40.6456985,-76.8019028,1555500
Warrior Ridge Hydro,Huntingdon,PA,American Hydro Power PLP,Private Non-utility,American Hydro Power PLP,2.8,6551.69,26.71106491,1985,40.5393982,-78.0351028,1559000
Harrisburg Water Supply,Dauphin,PA,City of Harrisburg,Publicly Owned Utility,City of Harrisburg,0.19,1466,88.07978851,2002,40.4616699,-76.7452774,1570500
Newport,Page,VA,"PE Hydro Generation, LLC.",Investor-Owned Utility,"PE Hydro Generation, LLC.",1.4,4858.18,39.61333986,1923,38.5712013,-78.5929031,1629500
Shenandoah,Page,VA,"PE Hydro Generation, LLC.",Investor-Owned Utility,"PE Hydro Generation, LLC.",0.862,0,0,1925,38.4816399,-78.6273193,1629500
Millville,Jefferson,WV,"PE Hydro Generation, LLC.",Investor-Owned Utility,"PE Hydro Generation, LLC.",2.8,10082.06,41.10428898,1913,39.2687988,-77.7823029,1636500
Rapidan Mill,Orange,VA,"Hall, Melvin R.",Private Non-utility,"Hall, Melvin R.",0.105,843,91.65035877,1985,38.3100014,-78.0655975,1667500
Lake Anna,Louisa,VA,Virginia Electric & Power Co,Investor-Owned Utility,Virginia Electric & Power Co,1,721581.89,8237.236187,1987,38.0119019,-77.7133026,1670400
Bath County,Bath,VA,Virginia Electric & Power Co,Investor-Owned Utility,Virginia Electric & Power Co,0,0,0,0,38.2266006,-79.8237,2011490
Cushaw,Amherst,VA,Virginia Electric & Power Co,Investor-Owned Utility,Virginia Electric & Power Co,7.5,11777.24,17.92578387,1930,37.591301,-79.3812027,2024752
Bedford,"Amherst, Bedford",VA,City of Bedford,Publicly Owned Utility,City of Bedford,5,14429.88,32.94493151,1987,37.5760002,-79.3743973,2024752
Holcomb Rock,"Amherst, Bedford",VA,Holcomb Rock Company,Industrial,Holcomb Rock Company,1.8,4510,28.60223237,1920,37.5101013,-79.2658997,2025500
Bynum,Chatham,NC,"PK Ventures, Incorporated",Private Non-utility,"PK Ventures, Incorporated",0.6,2461,46.82267884,0,35.7756996,-79.1492004,2096960
99 Islands,Cherokee,SC,"Duke Energy Carolinas, LLC",Investor-Owned Utility,"Duke Energy Carolinas, LLC",12,53241.71,50.64850647,1910,35.0326996,-81.4949036,2153551
Cherokee Falls,Cherokee,SC,"CHEROKEE FALLS HYDRO PROJECT, LLC",Private Non-utility,"CHEROKEE FALLS HYDRO PROJECT, LLC",4.3,5459.56,14.49389402,1985,35.0638008,-81.5484009,2153551
Saluda,Greenville,SC,Northbrook Carolina Hydro LLC,Private Non-utility,Northbrook Carolina Hydro LLC,2.4,6581.18,31.30317732,1996,34.852478,-82.4844894,2162500
Piedmont Hydro Power Project,Greenville,SC,Aquenergy Systems Inc,Private Non-utility,Aquenergy Systems Inc,1,6152.16,70.23013699,1989,34.7014008,-82.4625015,2163001
Pelzer Lower,Anderson,SC,Pelzer Hydro Co Inc,Private Non-utility,Pelzer Hydro Co Inc,3.3,8617.28,29.80932614,1989,34.6162987,-82.4477997,2163001
Pelzer Upper,Anderson,SC,"CHI West, Inc.",Private Non-utility,"CHI West, Inc.",2,6672.8,38.08675799,1989,34.6430016,-82.4549026,2163001
Ware Shoals Hydro Project,Laurens,SC,Aquenergy Systems Inc,Private Non-utility,Aquenergy Systems Inc,6.2,12942.55,23.83000074,1939,34.4039001,-82.2450027,2163500
Hollidays Bridge,Anderson,SC,Northbrook Carolina Hydro LLC,Private Non-utility,Northbrook Carolina Hydro LLC,4,9744.88,27.81073059,1996,34.529438,-82.3773041,2163500
Buzzard Roost,Greenwood,SC,"Duke Energy Carolinas, LLC",Investor-Owned Utility,"Duke Energy Carolinas, LLC",15,20845.2,15.86392694,1940,34.1692009,-81.9024963,2167000
Saluda,Lexington,SC,South Carolina Electric&Gas Co,Investor-Owned Utility,South Carolina Electric&Gas Co,207.3,134232.88,7.391890076,1930,34.0527992,-81.2185974,2168504
St Stephen,Berkeley,SC,US Army Corps of Engineers,USACE,South Carolina Pub Serv Auth,84,187452.18,25.47458415,1985,33.4254913,-79.9301224,2171645
Terrora,Rabun,GA,Georgia Power Co,Investor-Owned Utility,Georgia Power Co,16,40191.88,28.67571347,1925,34.7653999,-83.4161987,2181350
Nacoochee,Rabun,GA,Georgia Power Co,Investor-Owned Utility,Georgia Power Co,4.8,12476.18,29.67128044,1926,34.7549019,-83.5011978,2181350
Burton,Rabun,GA,Georgia Power Co,Investor-Owned Utility,Georgia Power Co,6,20483.94,38.97248858,1927,34.7937012,-83.5402985,2181350
Tallulah Falls,Rabun,GA,Georgia Power Co,Investor-Owned Utility,Georgia Power Co,72,137037.71,21.72718639,1913,34.7392006,-83.3957977,2181580
Stevens Creek,Columbia,GA,South Carolina Electric&Gas Co,Investor-Owned Utility,South Carolina Electric&Gas Co,17.6,63006.41,40.86654862,1914,33.5639,-82.0491028,2196485
Milstead,Rockdale,GA,Mill Shoals Hydro Co Inc,Private Non-utility,Mill Shoals Hydro Co Inc,1,2050.91,23.41221461,1994,33.6910019,-83.9942017,2207335
Porterdale Hydro,Newton,GA,"VC Porterdale Hydroelectric, LLC",Private Non-utility,"VC Porterdale Hydroelectric, LLC",3,935.750125,3.560693018,1927,33.5704002,-83.8964996,2208000
High Shoals Hydro,Oconee,GA,JASON & CAROL VICTORIA PRESLEY,Private Non-utility,JASON & CAROL VICTORIA PRESLEY,1.4,781.49,6.372227658,1988,33.8175011,-83.5095978,2219000
Morgan Falls,"Fulton, Cobb",GA,Georgia Power Co,Investor-Owned Utility,Georgia Power Co,16.8,33650.29,22.86522206,1903,33.9681015,-84.3841019,2335815
North Highlands,Muscogee,GA,Georgia Power Co,Investor-Owned Utility,Georgia Power Co,29.6,105930.76,40.85321794,1963,32.5,-85,2341460
Elba,Coffee,AL,"Elba Hydro-Electric Power, Inc.",Private Non-utility,"Elba Hydro-Electric Power, Inc.",2.447,11000,51.31621424,0,31.3640003,-86.0935974,2364500
Point A,Covington,AL,PowerSouth Energy Cooperative,Cooperative,PowerSouth Energy Cooperative,5.2,15369.88,33.74139445,1925,31.3610001,-86.5184021,2372430
Seneca,Warren,PA,"Seneca Generation, LLC",Wholesale Power Marketer,CELRP,0,0,0,0,41.8387985,-79.0058975,3012550
Piney,Clarion,PA,BP Piney & Deep Creek LLC,Private Non-utility,BP Piney & Deep Creek LLC,30,68043.84,25.89187215,1924,41.1917992,-79.4339981,3030500
Conemaugh,Westmoreland,PA,Pennsylvania Renewable Resources,Private Non-utility,CELRP,15,33115.47,25.20203196,1989,40.4673996,-79.3654022,3044000
New Martinsville,Wetzel,WV,New Martinsville Hannibal Hydro,Publicly Owned Utility,CELRP,37.4,206048.95,62.89189742,1988,39.6669998,-80.8644028,3114306
Summersville,Nicholas,WV,Gauley River Power Partners  LP,Private Non-utility,CELRH,80,193034.36,27.54485731,2001,38.2223015,-80.8899994,3192000
FLANNAGAN,Dickenson,VA,JORDAN HYDROELECTRIC L.P.,Private Non-utility,CELRH,3,9500,24.6471565,2012,37.2333298,-82.3450012,3209000
O'Shaughnessy Hydro,Delaware,OH,City of Columbus,Publicly Owned Utility,City of Columbus,5.2,5672.06,12.45183527,1988,40.1539001,-83.1256027,3221000
Dix Dam,Mercer,KY,Kentucky Utilities Co,Investor-Owned Utility,Kentucky Utilities Co,28.2,70019.18,28.34417403,1925,37.7854652,-84.7037888,3286200
Mother Ann Lee,Mercer,KY,Lock 7 Hydro Partners LLC,Private Non-utility,US Army Corps of Engineers,2.1,5890,32.01782996,2007,37.8311005,-84.7238998,3287000
J P Priest,DAVIDSON,TN,USCE-Nashville District,USACE,USCE-Nashville District,28,63358.94,25.83127038,1970,36.1560707,-86.61866,3430200
Ivy River Hydro,Madison,NC,Madison Hydro Partners,Private Non-utility,Madison Hydro Partners,1.2,1714.322,16.3082382,1985,35.771801,-82.6190033,3453000
Franklin,Macon,NC,"Duke Energy Carolinas, LLC",Investor-Owned Utility,"Duke Energy Carolinas, LLC",1,7817,89.23515982,1925,35.2195015,-83.3712997,3503000
White River,Ashland,WI,Northern States Power Co - Minnesota,Investor-Owned Utility,Northern States Power Co - Minnesota,1,3966.41,45.27865297,1907,46.4976997,-90.9088974,4027500
Marquette,Marquette,MI,City of Marquette,Publicly Owned Utility,City of Marquette,3.2,10167.35,36.27051227,1919,46.5691986,-87.4543991,4044003
Tourist Park,Marquette,MI,City of Marquette,Publicly Owned Utility,City of Marquette,0.7,4217,68.77038487,1919,46.5717506,-87.4132919,4044003
Hoist,Marquette,MI,Upper Peninsula Power Co,Investor-Owned Utility,Upper Peninsula Power Co,3.4,12515.59,42.02118587,1988,46.5600014,-87.5599976,4044003
